"club","wage_total","value_total"
"Unión La Calera","33000","21355000"
"Lincoln City","125000","21275000"
"SC Heerenveen","58000","21165000"
"Jeju United FC","75000","21070000"
"KV Mechelen","125000","20870000"
"Bolivia","112000","20760000"
"Pisa","34000","20725000"
"Royal Excel Mouscron","90000","20685000"
"FC Seoul","79000","20670000"
"Chongqing Dangdai Lifan FC SWM Team","68000","20495000"
"SV Wehen Wiesbaden","129000","20475000"
"Pordenone","31000","20375000"
"Grenoble Foot 38","67000","20365000"
"Milton Keynes Dons","118000","20340000"
"Melbourne Victory","80000","20340000"
"Daegu FC","59000","20085000"
"Randers FC","125000","20055000"
"Odds BK","69000","19945000"
"Perth Glory","66000","19875000"
"FC Ingolstadt 04","63000","19860000"
"Ross County FC","137000","19835000"
"Cosenza","39000","19825000"
"FC Luzern","94000","19610000"
"Fortuna Sittard","69000","19510000"
"Pogoń Szczecin","55000","19405000"
"CD Antofagasta","45000","19365000"
"Cracovia","56000","19190000"
"Bohemian FC","159000","19160000"
"Valenciennes FC","50000","19155000"
"CD Universidad de Concepción","53000","19155000"
"Henan Jianye FC","93000","19100000"
"Orlando Pirates","28000","18615000"
"VVV-Venlo","64000","18610000"
"Odense Boldklub","104000","18390000"
"Hobro IK","125000","18345000"
"Melbourne City FC","107000","18295000"
"Colchester United","115000","18285000"
"Exeter City","116000","18250000"
"ADO Den Haag","72000","18210000"
"Beijing Renhe FC","101000","18200000"
"Racing Santander","74000","18150000"
"Sanfrecce Hiroshima","97000","18130000"
"Pohang Steelers","63000","18055000"
"FC Chambly Oise","55000","17760000"
"Waasland-Beveren","74000","17735000"
"Politehnica Iaşi","70000","17620000"
"Venezia FC","39000","17605000"
"SC Preußen Münster","55000","17590000"
"Vålerenga Fotball","53000","17580000"
"KFC Uerdingen 05","78000","17560000"
" SSV Jahn Regensburg","103000","17515000"
"Piast Gliwice","59000","17500000"
"Stevenage","101000","17285000"
"Cheltenham Town","203000","17285000"
"Al Hazem","133000","17225000"
"Östersunds FK","53000","17010000"
"1. FC Kaiserslautern","45000","16910000"
"Astra Giurgiu","73000","16850000"
"IF Elfsborg","51000","16785000"
